Date,Cryptocurrency,Open,High,Low,Close,Adj Close,Volume,Symbol
2014-02-20,Meli Dólar,92.58999633789062,94.01000213623048,91.61000061035156,92.9499969482422,91.43017578125,858100,MELI
2014-02-21,Meli Dólar,93.26000213623048,93.26000213623048,90.56999969482422,91.0,89.5120620727539,492300,MELI
2014-02-24,Meli Dólar,91.0,92.69000244140624,90.5,91.06999969482422,89.5809097290039,738100,MELI
2014-02-25,Meli Dólar,90.95999908447266,91.23999786376952,87.87999725341797,89.47000122070312,88.007080078125,1568600,MELI
2014-02-26,Meli Dólar,90.0,96.9000015258789,89.12999725341797,93.9800033569336,92.44334411621094,1402500,MELI
2014-02-27,Meli Dólar,93.69000244140624,95.41000366210938,93.0199966430664,94.2300033569336,92.68924713134766,1651100,MELI
2014-02-28,Meli Dólar,108.56999969482422,112.87999725341795,100.23999786376952,104.18000030517578,102.47654724121094,3988500,MELI
2014-03-03,Meli Dólar,102.38999938964844,103.91000366210938,100.1500015258789,102.19000244140624,100.51909637451172,961000,MELI
2014-03-04,Meli Dólar,103.30999755859376,106.25,102.9000015258789,105.7300033569336,104.00122833251952,775900,MELI
2014-03-05,Meli Dólar,105.98999786376952,106.87999725341795,102.72000122070312,105.83999633789062,104.10939025878906,638700,MELI
2014-03-06,Meli Dólar,105.9800033569336,107.29000091552734,102.87000274658205,103.22000122070312,101.53224182128906,575800,MELI
2014-03-07,Meli Dólar,104.01000213623048,104.87000274658205,99.2300033569336,101.18000030517578,99.52560424804688,726700,MELI
2014-03-10,Meli Dólar,100.6500015258789,101.3499984741211,99.76000213623048,100.06999969482422,98.43374633789062,622600,MELI
2014-03-11,Meli Dólar,100.33999633789062,101.1500015258789,99.76000213623048,100.51000213623048,98.86656188964844,722500,MELI
2014-03-12,Meli Dólar,100.20999908447266,100.4000015258789,98.04000091552734,99.6500015258789,98.0206298828125,626900,MELI
2014-03-13,Meli Dólar,100.83000183105467,101.38999938964844,95.80999755859376,96.41999816894533,94.84343719482422,458200,MELI
2014-03-14,Meli Dólar,97.05999755859376,97.83000183105467,94.52999877929688,97.0,95.41394805908205,667700,MELI
2014-03-17,Meli Dólar,97.7300033569336,98.77999877929688,97.5199966430664,98.5,96.88943481445312,541600,MELI
2014-03-18,Meli Dólar,98.3499984741211,99.44000244140624,96.91000366210938,98.81999969482422,97.20417785644533,408700,MELI
2014-03-19,Meli Dólar,99.26000213623048,100.69000244140624,95.66000366210938,96.4000015258789,94.8237533569336,236400,MELI
2014-03-20,Meli Dólar,96.4000015258789,96.81999969482422,94.4499969482422,95.13999938964844,93.58436584472656,417800,MELI
2014-03-21,Meli Dólar,96.25,96.31999969482422,94.77999877929688,95.5500030517578,93.9876480102539,508100,MELI
2014-03-24,Meli Dólar,96.5,96.5,91.25,93.37999725341795,91.85313415527344,852600,MELI
2014-03-25,Meli Dólar,95.68000030517578,96.0,91.37000274658205,93.01000213623048,91.48918914794922,865100,MELI
2014-03-26,Meli Dólar,94.31999969482422,97.12999725341795,93.9000015258789,96.12000274658205,94.54833984375,958500,MELI
2014-03-27,Meli Dólar,96.04000091552734,98.0,93.0199966430664,94.70999908447266,93.32257080078124,697200,MELI
2014-03-28,Meli Dólar,95.43000030517578,97.87999725341795,95.08999633789062,96.27999877929688,94.86956024169922,528100,MELI
2014-03-31,Meli Dólar,94.80999755859376,96.5999984741211,93.7699966430664,95.11000061035156,93.71671295166016,466800,MELI
2014-04-01,Meli Dólar,95.43000030517578,99.0,95.25,95.97000122070312,94.56410217285156,809300,MELI
2014-04-02,Meli Dólar,95.7699966430664,97.68000030517578,94.20999908447266,95.4800033569336,94.08128356933594,495000,MELI
2014-04-03,Meli Dólar,95.3499984741211,95.79000091552734,92.81999969482422,92.95999908447266,91.59820556640624,579400,MELI
2014-04-04,Meli Dólar,93.77999877929688,94.43000030517578,87.83000183105469,89.1500015258789,87.84400939941406,892900,MELI
2014-04-07,Meli Dólar,89.45999908447266,89.5,83.52999877929688,84.20999908447266,82.97637939453125,1827100,MELI
2014-04-08,Meli Dólar,84.63999938964844,86.95999908447266,84.22000122070312,85.44999694824219,84.19821166992188,631300,MELI
2014-04-09,Meli Dólar,86.13999938964844,91.9800033569336,85.01000213623047,91.7699966430664,90.42562866210938,834400,MELI
2014-04-10,Meli Dólar,91.91999816894533,92.01000213623048,87.33000183105469,87.77999877929688,86.49407958984375,585500,MELI
2014-04-11,Meli Dólar,86.25,89.73999786376953,85.19000244140625,85.91000366210938,84.65147399902344,397700,MELI
2014-04-14,Meli Dólar,87.36000061035156,88.33000183105469,86.27999877929688,86.9000015258789,85.62696075439453,346100,MELI
2014-04-15,Meli Dólar,87.55999755859375,87.55999755859375,82.08000183105469,84.08999633789062,82.85814666748047,873900,MELI
2014-04-16,Meli Dólar,86.30999755859375,86.30999755859375,84.11000061035156,84.63999938964844,83.40007019042969,563300,MELI
2014-04-17,Meli Dólar,84.93000030517578,86.9000015258789,83.69000244140625,86.1500015258789,84.887939453125,1772300,MELI
2014-04-21,Meli Dólar,86.0,86.68000030517578,84.37999725341797,85.01000213623047,83.76466369628906,411200,MELI
2014-04-22,Meli Dólar,84.87999725341797,86.76000213623047,84.7699966430664,85.55000305175781,84.2967529296875,800200,MELI
2014-04-23,Meli Dólar,84.91000366210938,87.2699966430664,84.77999877929688,86.55999755859375,85.29195404052734,518200,MELI
2014-04-24,Meli Dólar,87.37999725341797,89.76000213623047,85.52999877929688,89.36000061035156,88.05093383789062,572900,MELI
2014-04-25,Meli Dólar,87.61000061035156,88.88999938964844,85.95999908447266,87.27999877929688,86.00141143798828,972100,MELI
2014-04-28,Meli Dólar,88.36000061035156,88.36000061035156,85.01000213623047,87.47000122070312,86.1886215209961,850700,MELI
2014-04-29,Meli Dólar,88.33000183105469,89.16999816894531,86.69000244140625,87.9000015258789,86.61231994628906,569500,MELI
2014-04-30,Meli Dólar,88.83999633789062,93.33000183105467,88.31999969482422,93.2699966430664,91.90364074707033,748300,MELI
2014-05-01,Meli Dólar,92.81999969482422,93.83999633789062,88.80999755859375,89.41999816894531,88.11004638671875,721800,MELI
2014-05-02,Meli Dólar,89.43000030517578,90.95999908447266,88.4800033569336,89.12000274658203,87.81444549560547,295000,MELI
2014-05-05,Meli Dólar,88.70999908447266,89.16999816894531,87.66999816894531,88.47000122070312,87.17398071289062,226400,MELI
2014-05-06,Meli Dólar,87.7300033569336,88.93000030517578,84.70999908447266,84.83999633789062,83.5971450805664,490400,MELI
2014-05-07,Meli Dólar,84.87999725341797,85.76000213623047,80.44000244140625,84.12000274658203,82.8876953125,1002500,MELI
2014-05-08,Meli Dólar,84.12000274658203,86.4800033569336,82.58999633789062,83.26000213623047,82.0403060913086,761100,MELI
2014-05-09,Meli Dólar,88.98999786376953,88.98999786376953,81.66999816894531,84.56999969482422,83.33110046386719,2146500,MELI
2014-05-12,Meli Dólar,84.81999969482422,87.98999786376953,84.81999969482422,86.63999938964844,85.37077331542969,774300,MELI
2014-05-13,Meli Dólar,86.9000015258789,87.79000091552734,85.80000305175781,86.43000030517578,85.16386413574219,340700,MELI
2014-05-14,Meli Dólar,86.38999938964844,86.9000015258789,84.81999969482422,85.94000244140625,84.6810302734375,281500,MELI
2014-05-15,Meli Dólar,85.08000183105469,85.54000091552734,82.87999725341797,85.2300033569336,83.98143005371094,775500,MELI
2014-05-16,Meli Dólar,84.98999786376953,85.4800033569336,83.52999877929688,84.98999786376953,83.74494171142578,663700,MELI
2014-05-19,Meli Dólar,84.02999877929688,85.0,82.22000122070312,84.05000305175781,82.8187255859375,1927300,MELI
2014-05-20,Meli Dólar,83.9000015258789,84.44000244140625,79.69999694824219,80.52999877929688,79.35028839111328,1443700,MELI
2014-05-21,Meli Dólar,80.4800033569336,83.08000183105469,79.5199966430664,80.91000366210938,79.72471618652344,2122400,MELI
2014-05-22,Meli Dólar,80.54000091552734,85.48999786376953,80.54000091552734,84.16000366210938,82.9271240234375,1222500,MELI
2014-05-23,Meli Dólar,84.05000305175781,84.88999938964844,82.0,84.11000061035156,82.87783813476562,790700,MELI
2014-05-27,Meli Dólar,84.43000030517578,84.93000030517578,81.77999877929688,84.12000274658203,82.8876953125,685900,MELI
2014-05-28,Meli Dólar,83.37999725341797,84.0999984741211,81.98999786376953,82.0999984741211,80.89729309082031,748900,MELI
2014-05-29,Meli Dólar,85.93000030517578,90.51000213623048,84.41999816894531,87.61000061035156,86.32657623291016,2114600,MELI
2014-05-30,Meli Dólar,86.4800033569336,87.36000061035156,83.87999725341797,85.06999969482422,83.82379150390625,899000,MELI
2014-06-02,Meli Dólar,85.22000122070312,85.94000244140625,83.45999908447266,83.86000061035156,82.63150024414062,660300,MELI
2014-06-03,Meli Dólar,83.37999725341797,84.91000366210938,83.05999755859375,84.81999969482422,83.57742309570312,555300,MELI
2014-06-04,Meli Dólar,84.08999633789062,86.87999725341797,84.08999633789062,84.73999786376953,83.49859619140625,428800,MELI
2014-06-05,Meli Dólar,85.16000366210938,88.69999694824219,84.2699966430664,87.88999938964844,86.60247039794922,624400,MELI
2014-06-06,Meli Dólar,88.0,89.80999755859375,87.80999755859375,88.12000274658203,86.82910919189453,483600,MELI
2014-06-09,Meli Dólar,87.7699966430664,90.0,87.29000091552734,88.37000274658203,87.075439453125,464600,MELI
2014-06-10,Meli Dólar,88.3499984741211,90.48999786376952,88.3499984741211,89.62000274658203,88.30712890625,452600,MELI
2014-06-11,Meli Dólar,88.5199966430664,89.94999694824219,87.55000305175781,88.33000183105469,87.03601837158203,447900,MELI
2014-06-12,Meli Dólar,88.36000061035156,89.27999877929688,86.23999786376953,87.33000183105469,86.05068969726562,291700,MELI
2014-06-13,Meli Dólar,88.44999694824219,89.61000061035156,86.33000183105469,87.54000091552734,86.25759887695312,426100,MELI
2014-06-16,Meli Dólar,87.38999938964844,87.87999725341797,85.38999938964844,87.19000244140625,85.9127197265625,546200,MELI
2014-06-17,Meli Dólar,86.80999755859375,89.37000274658203,86.69000244140625,88.52999877929688,87.23310089111328,293400,MELI
2014-06-18,Meli Dólar,88.08000183105469,88.93000030517578,87.08000183105469,88.8499984741211,87.54839324951172,270300,MELI
2014-06-19,Meli Dólar,88.19999694824219,91.33999633789062,88.19999694824219,90.66999816894533,89.34175109863281,515600,MELI
2014-06-20,Meli Dólar,91.0,91.52999877929688,90.20999908447266,91.06999969482422,89.73588562011719,579600,MELI
2014-06-23,Meli Dólar,91.48999786376952,93.70999908447266,91.08000183105467,92.77999877929688,91.42081451416016,555300,MELI
2014-06-24,Meli Dólar,91.26000213623048,93.48999786376952,89.5,91.6500015258789,90.30738830566406,1160200,MELI
2014-06-25,Meli Dólar,92.0500030517578,92.95999908447266,89.4000015258789,89.66999816894531,88.35638427734375,818700,MELI
2014-06-26,Meli Dólar,89.66999816894531,90.87999725341795,88.81999969482422,90.81999969482422,89.65550994873047,497600,MELI
2014-06-27,Meli Dólar,90.93000030517578,93.87999725341795,90.20999908447266,93.87999725341795,92.67626953125,597400,MELI
2014-06-30,Meli Dólar,94.0,97.44000244140624,93.61000061035156,95.4000015258789,94.1768035888672,888300,MELI
2014-07-01,Meli Dólar,95.4000015258789,97.22000122070312,94.54000091552734,95.97000122070312,94.73948669433594,577400,MELI
2014-07-02,Meli Dólar,95.51000213623048,97.43000030517578,93.18000030517578,95.5199966430664,94.29525756835938,560800,MELI
2014-07-03,Meli Dólar,95.9800033569336,96.87999725341795,95.0999984741211,96.04000091552734,94.80857849121094,237400,MELI
2014-07-07,Meli Dólar,96.04000091552734,96.62000274658205,93.5999984741211,94.13999938964844,92.93294525146484,292300,MELI
2014-07-08,Meli Dólar,93.93000030517578,93.93000030517578,89.5,90.26000213623048,89.10270690917969,740800,MELI
2014-07-09,Meli Dólar,90.58000183105467,91.73999786376952,90.02999877929688,91.4000015258789,90.22809600830078,362300,MELI
2014-07-10,Meli Dólar,89.5999984741211,91.91000366210938,89.08000183105469,90.62000274658205,89.45808410644531,453100,MELI
2014-07-11,Meli Dólar,90.38999938964844,91.91000366210938,90.0999984741211,90.37999725341795,89.2211685180664,269900,MELI
2014-07-14,Meli Dólar,91.0500030517578,92.48999786376952,90.33999633789062,91.3000030517578,90.12936401367188,214000,MELI
2014-07-15,Meli Dólar,91.37999725341795,91.7699966430664,90.12000274658205,90.56999969482422,89.40874481201172,395700,MELI
2014-07-16,Meli Dólar,90.97000122070312,91.91999816894533,89.83000183105469,90.87000274658205,89.70488739013672,427100,MELI
2014-07-17,Meli Dólar,90.76000213623048,90.91999816894533,86.25,86.9800033569336,85.86476135253906,875000,MELI
2014-07-18,Meli Dólar,87.8499984741211,89.41000366210938,87.3499984741211,89.29000091552734,88.1451416015625,294400,MELI
